aCO,U,flux_C2H4,flux_CH4,flux_H2
1.501310728908174203e-06,-1.040000000000000036e+00,2.841027876244576078e-12,4.634132646074386964e-14,1.211751351716243025e-06
2.253933904734788681e-06,-1.040000000000000036e+00,4.264944690294706521e-12,6.956749558234487336e-14,1.211660173052247140e-06
3.383855153428233349e-06,-1.040000000000000036e+00,6.402283977083371837e-12,1.044306303212312949e-13,1.211523311306706744e-06
5.080218046913022430e-06,-1.040000000000000036e+00,9.610187939152075462e-12,1.567562431756339676e-13,1.211317897342490326e-06
7.626985859023451423e-06,-1.040000000000000036e+00,1.442420661463664958e-11,2.352799397905500523e-13,1.211009637908406251e-06
1.145047569938281224e-05,-1.040000000000000036e+00,2.164694576662792685e-11,3.530933958928053721e-13,1.210547139186731479e-06
1.719072201858574747e-05,-1.040000000000000036e+00,3.248016883489868647e-11,5.297991336388220073e-13,1.209853447816289312e-06
2.580861540418076793e-05,-1.040000000000000036e+00,4.872091084214795081e-11,7.947094267111678180e-13,1.208813492993148669e-06
3.874675120456128150e-05,-1.040000000000000036e+00,7.305095515212768907e-11,1.191568090295809530e-12,1.207255550202351489e-06
5.817091329374357686e-05,-1.040000000000000036e+00,1.094603857438764407e-10,1.785459239133228448e-12,1.204924119598084913e-06
8.733261623828436962e-05,-1.040000000000000036e+00,1.638589744009993564e-10,2.672779908191821426e-12,1.201440776619003789e-06
1.311133937421564226e-04,-1.040000000000000036e+00,2.449401534408568812e-10,3.995332713507765340e-12,1.196248848616527156e-06
1.968419447286613299e-04,-1.040000000000000036e+00,3.653608950056449118e-10,5.959571411818341609e-12,1.188537862816704351e-06
2.955209235202887964e-04,-1.040000000000000036e+00,5.432628564026556901e-10,8.861413009375339801e-12,1.177146141753809884e-06
4.436687330978615856e-04,-1.040000000000000036e+00,8.040366376207889559e-10,1.311501538648618772e-11,1.160447831331454274e-06
6.660846290809161038e-04,-1.040000000000000036e+00,1.181937438984752974e-09,1.927913104061804748e-11,1.136249444282896320e-06
1.000000000000000021e-03,-1.040000000000000036e+00,1.720590092676849043e-09,2.806534489033478637e-11,1.101757521133411866e-06
1.501310728908174328e-03,-1.040000000000000036e+00,2.470548331213976594e-09,4.029826236874871353e-11,1.053734919273677089e-06
2.253933904734791056e-03,-1.040000000000000036e+00,3.481254276220909761e-09,5.678435690693156796e-11,9.890156766542333024e-07
3.383855153428236544e-03,-1.040000000000000036e+00,4.785206014132522036e-09,7.805371990082509639e-11,9.055188205143718009e-07
5.080218046913023006e-03,-1.040000000000000036e+00,6.375949004358453300e-09,1.040010683381952609e-10,8.036576589785055491e-07
7.626985859023451518e-03,-1.040000000000000036e+00,8.189266192231526886e-09,1.335789279863665067e-10,6.875442477457658983e-07
1.145047569938283452e-02,-1.040000000000000036e+00,1.010314775904860762e-08,1.647971399710753478e-10,5.649913271068493698e-07
1.719072201858574608e-02,-1.040000000000000036e+00,1.196584797123629695e-08,1.951805090866185229e-10,4.457157380441597399e-07
