trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,lambda1_metaweight
207,0.33437834967711794,PRUNED,0:00:04.047397,0.00955023628712023,8,28,30,32,0.5304268807706862
208,0.6831849545055295,PRUNED,0:00:00.894199,0.0095946749573421,20,31,30,38,0.5239792253632993
209,0.004912746871621606,COMPLETE,0:00:45.580421,0.005017975995310217,11,28,33,40,0.53803360110705
210,0.004317861888896171,COMPLETE,0:00:43.435812,0.009742228374331722,12,28,31,36,0.5361806211507841
211,0.27493351353193396,PRUNED,0:00:05.354708,0.009963246140099895,12,28,32,32,0.595582281391695
212,0.2516201360345776,PRUNED,0:00:06.889929,0.0031502895000944946,12,27,29,31,0.5031179211613372
213,0.0051067136284751995,COMPLETE,0:00:48.161785,0.0034615556822583863,10,26,32,36,0.5873329452142366
214,0.004644630686093458,COMPLETE,0:00:45.195574,0.0032785623187215366,11,27,32,31,0.5834186331967424
215,0.7577204444046531,PRUNED,0:00:00.792999,0.003411670824445285,23,21,31,34,0.5005200530026633
216,1.3333773450417952,PRUNED,0:00:00.189613,0.004873735151923347,197,27,33,31,1.3622853403744197
217,0.004383550625025865,COMPLETE,0:00:45.575981,0.003029410085552235,11,30,31,36,0.5805388179802519
218,0.30166272923392073,PRUNED,0:00:02.907647,0.0048974672845629496,18,28,36,41,0.5867622568731058
219,0.2972654348878718,PRUNED,0:00:04.145440,0.00772082116883607,12,30,32,36,1.305849890108482
220,0.6556015386736604,PRUNED,0:00:00.922872,0.005149637967648218,19,29,37,39,1.350754073873728
221,0.004822036900120189,COMPLETE,0:00:46.379062,0.003736167034129545,11,32,36,37,1.3409335887402214
222,0.004688618209207596,COMPLETE,0:00:57.847265,0.0037249164221573685,9,32,35,30,0.5706398429383023
223,0.2563840214678696,PRUNED,0:00:08.338650,0.003775003269194183,10,26,36,30,1.4735825182932987
224,0.6860472995947308,PRUNED,0:00:00.740300,0.003753445408250081,25,30,36,60,1.3788226535210475
225,1.354726359896038,PRUNED,0:00:00.218210,0.0028983008973264258,140,32,35,30,0.6510163170192643
226,0.2672500757090666,PRUNED,0:00:04.701722,0.004197280371068877,14,32,36,40,1.2963505426278246
227,0.003955050929042664,COMPLETE,0:00:35.564932,0.0073097660542147756,15,26,37,34,0.5787282995879867
228,0.004452876691934127,COMPLETE,0:00:33.636659,0.004057707297284925,16,26,36,42,0.6019959774680483
229,12.99006004163197,PRUNED,0:00:00.785490,0.084402526232557,23,40,38,42,1.4760459299592745
230,0.19328907172045998,PRUNED,0:00:34.538440,0.006958057825472852,8,26,36,42,0.6274089316957154
231,0.6687446876808449,PRUNED,0:00:01.006675,0.007266515822160256,17,30,36,42,0.6359540758351295
232,0.2963204744552809,PRUNED,0:00:03.149981,0.007174131812148977,17,42,37,42,0.6281633132964098
233,0.004482862714778695,COMPLETE,0:00:33.012678,0.0024499185087660433,16,35,37,41,0.6261071508625997
234,0.3828274718906781,PRUNED,0:00:07.899109,0.006417578100928874,4,42,46,41,1.1408215753401474
235,0.004024986439196385,COMPLETE,0:02:02.699098,0.002516553299450931,4,48,35,37,1.3250924971136966
236,0.7721559834387516,PRUNED,0:00:00.748906,0.0023005631813753946,25,35,35,37,0.6153634448911106
237,0.26708473640947533,PRUNED,0:00:08.202351,0.004636985179568687,8,48,34,34,1.331752267320921
238,0.8115430881197636,PRUNED,0:00:00.652173,0.00259432263879656,31,49,51,59,0.760511631202786
239,0.004712837565084082,COMPLETE,0:00:33.833688,0.00453787817946114,16,44,52,34,0.670159212800241
240,0.6496403744787126,PRUNED,0:00:01.129431,0.002124651783200296,16,44,53,49,0.5631602856783391
241,0.6335680275623288,PRUNED,0:00:00.817056,0.004649234284578448,23,40,52,60,0.5192485791142474
242,0.004218683230123406,COMPLETE,0:01:57.980780,0.0027363028649537574,4,43,53,39,1.3083309919075317
243,0.004825577924633579,COMPLETE,0:02:05.040454,0.002727045112007102,4,43,53,39,0.9201389009302267
244,0.003960421762496779,COMPLETE,0:00:33.492826,0.0063330178409989725,16,29,38,34,0.6178271189360823
245,0.2975792042781195,PRUNED,0:00:06.838739,0.006282218270941107,7,29,37,34,1.305872427980193
246,0.1876181269813779,PRUNED,0:01:17.855695,0.005595116482129296,4,29,37,34,0.659216645190023
247,0.2924847301412252,PRUNED,0:00:02.421486,0.006086409108938746,21,29,38,38,1.3147452687712955
248,1.303852484483796,PRUNED,0:00:03.907355,0.054369004884777666,4,43,53,34,0.6629238101980185
249,0.0050683318267588364,COMPLETE,0:00:37.681227,0.004968332795492408,14,41,53,46,0.5457959042142662
250,0.0038738525583575985,COMPLETE,0:00:32.553445,0.004835250068506003,16,43,47,39,0.5563428108749309
251,0.004810670689885402,COMPLETE,0:02:00.504464,0.0028128265798745182,4,24,47,58,0.5495860195694365
252,0.3294982467749104,PRUNED,0:00:01.792161,0.005295084873892192,20,30,38,35,0.5502358230987453
253,0.0042075523254083425,COMPLETE,0:00:36.507351,0.007390760267620335,14,33,47,33,0.5981248380588287
254,0.3619334636041022,PRUNED,0:00:02.309715,0.007924712376978432,14,24,48,39,0.5700945137411915
255,0.0037920416491216725,COMPLETE,0:01:54.264135,0.005614407673527753,4,33,47,39,0.5200693493561137
256,0.3180189767103192,PRUNED,0:00:07.677724,0.008411267156854238,4,33,47,40,0.5187857557638766
257,0.29653484312119255,PRUNED,0:00:05.878270,0.005380047792327411,8,31,49,33,0.5016513616003045
258,0.29509269469273014,PRUNED,0:00:02.592757,0.01216441184102553,20,43,38,39,1.3682886839600066
