trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,w_dx,w_dz
664,2.01360069002424,PRUNED,0:00:00.206227,0.00295889046768818,216,28,175,31,0.1613461494004648,1.134338949054006
665,0.5013587567729023,PRUNED,0:00:01.872176,0.0025789491727766164,12,36,151,58,0.21567934736971173,0.9777455643249737
666,1.0440516470154924,PRUNED,0:00:00.807401,0.004354764027032515,17,25,158,23,0.2518003492939163,1.159290753913773
667,0.0047512417138540096,COMPLETE,0:00:38.874408,0.003013408313900271,8,29,154,26,0.10122553123640196,1.1094386322480427
668,0.4882220519673929,PRUNED,0:00:01.715859,0.0023119313426654587,13,32,155,23,0.1386315614288605,1.0763078271955977
669,0.004492347144805719,COMPLETE,0:00:38.699664,0.002218828644646668,8,32,143,24,0.1383280397531117,1.0800568264452148
670,1.3090960625936146,PRUNED,0:00:01.326083,0.003474215365771695,8,23,144,26,1.1208223204159544,1.1578816927895015
671,1.2506613916945908,PRUNED,0:00:00.561184,0.004074910334960789,28,37,150,30,0.19005716731445105,1.115237303408717
672,1.1227559432236836,PRUNED,0:00:00.620847,0.0029993291431563785,20,33,164,32,0.25979222869555973,1.066795018729883
673,1.1297460640661228,PRUNED,0:00:00.624293,0.003411802136941262,19,32,163,32,0.2604576431272248,1.030159591660934
674,0.5414312682569228,PRUNED,0:00:01.178431,0.004603822455438761,20,30,167,36,0.21137335690480386,1.059577282023758
675,0.4340019692425375,PRUNED,0:00:01.099964,0.005046837541645039,22,39,162,31,0.21067716063257488,1.066561411395073
676,0.4555084650715192,PRUNED,0:00:00.791801,0.009310945611763521,33,40,149,36,0.20599076502110947,1.0731238726091212
677,1.6450917897401032,PRUNED,0:00:00.231291,0.0049800491712031,111,39,167,36,0.18319521488633123,1.0779487697240997
678,0.50547245446487,PRUNED,0:00:01.006338,0.00838333600440647,24,30,160,29,0.16874235799643122,1.118608230514733
679,1.3226684026357507,PRUNED,0:00:00.542743,0.0021657378560707764,25,29,160,28,0.17029487875267704,1.1051829279967849
680,1.0984866242198383,PRUNED,0:00:00.529986,0.003832719886322994,25,65,156,30,0.16198868654898935,1.1243167731591346
681,0.9826102971608909,PRUNED,0:00:00.811735,0.002295209014589989,14,29,157,52,0.16638341267017093,1.109540743102512
682,0.5867683035556717,PRUNED,0:00:01.540012,0.0036978200429634575,15,32,157,53,0.16322386105971892,1.1266346269174428
683,0.28584974733585455,PRUNED,0:00:07.909797,0.0030943783428070554,14,46,145,62,0.10016404768745456,0.9929880271868271
684,0.2633674249151035,PRUNED,0:00:10.866675,0.003010249015920712,13,34,143,61,0.13945304532863,1.1691721880373673
685,1.408665244244347,PRUNED,0:00:00.337748,0.0031855473747537956,49,74,144,26,0.13136370522475327,1.1757335239041953
686,0.35553969524790724,PRUNED,0:00:07.440911,0.003927317793862607,4,36,148,60,0.2851677003075556,1.1854697436832522
687,0.360246231389834,PRUNED,0:00:07.974359,0.0021369648758476803,4,155,148,61,0.2882980967918225,1.172484096485781
688,0.38763506662266456,PRUNED,0:00:07.353468,0.0020271850556437044,4,23,149,48,0.28975542984013075,1.1685422572750281
