CAD,mean,su
-179.75,0.239637227,0.00360006
-179.5,0.239665894,0.003600088
-179.25,0.239681855,0.030928661
-179,0.23970325,0.030942488
-178.75,0.239738925,0.030936676
-178.5,0.239785448,0.030929813
-178.25,0.239831884,0.030937516
-178,0.239868704,0.030946795
-177.75,0.23989507,0.030938158
-177.5,0.23991991,0.030936844
-177.25,0.239956021,0.030938598
-177,0.240010596,0.030937788
-176.75,0.240077878,0.030937214
-176.5,0.240138699,0.030935831
-176.25,0.240168028,0.030930757
-176,0.240147249,0.030936884
-175.75,0.240075119,0.030945242
-175.5,0.239971712,0.030937611
-175.25,0.239872944,0.030935956
-175,0.239817818,0.030930314
-174.75,0.23983389,0.03093713
-174.5,0.239927068,0.030937429
-174.25,0.240079539,0.030946403
-174,0.240255811,0.030937073
-173.75,0.240413659,0.03093782
-173.5,0.240515588,0.030939072
-173.25,0.240537484,0.030938669
-173,0.240473179,0.03093784
-172.75,0.240335309,0.030936987
-172.5,0.240153167,0.030930755
-172.25,0.239967692,0.030946038
-172,0.239823434,0.030928872
-171.75,0.239758094,0.030943611
-171.5,0.239792026,0.030936793
-171.25,0.239921508,0.030937266
-171,0.24011922,0.03093735
-170.75,0.240342833,0.030939676
-170.5,0.240548859,0.030931296
-170.25,0.240706218,0.030938965
-170,0.24080394,0.030947343
-169.75,0.240850349,0.030929992
-169.5,0.240865284,0.030946504
-169.25,0.240869986,0.030938463
-169,0.240879554,0.030941049
-168.75,0.240900505,0.030922594
-168.5,0.240932606,0.030946519
-168.25,0.240972112,0.030939635
-168,0.241013744,0.030945193
-167.75,0.241050839,0.030930591
-167.5,0.241075121,0.030947564
-167.25,0.241078141,0.030938413
-167,0.241055007,0.030932637
-166.75,0.24100887,0.030946727
-166.5,0.240953314,0.030931508
-166.25,0.240910457,0.030941442
-166,0.240904871,0.030940905
-165.75,0.240955948,0.030949349
-165.5,0.241072254,0.030935297
-165.25,0.241250203,0.030951719
-165,0.241476637,0.030936015
-164.75,0.241732696,0.030967257
-164.5,0.241996159,0.030934124
-164.25,0.24224157,0.030957598
-164,0.242440361,0.030946102
-163.75,0.242564434,0.030965703
-163.5,0.242594833,0.030942706
-163.25,0.242532813,0.030942181
-163,0.242406861,0.030959738
-162.75,0.242269177,0.030947093
-162.5,0.242180014,0.030931733
-162.25,0.242185731,0.031061477
-162,0.242301623,0.031300608
-161.75,0.242509316,0.031097237
-161.5,0.242770549,0.031066844
-161.25,0.243049099,0.031074099
-161,0.24332706,0.03096963
-160.75,0.243605208,0.031004999
-160.5,0.243887969,0.030937431
-160.25,0.244164734,0.030980072
-160,0.244402847,0.030939882
-159.75,0.244560363,0.03095981
-159.5,0.244612915,0.030973534
-159.25,0.244577792,0.030938896
-159,0.244517841,0.030961765
-158.75,0.244518937,0.030953575
-158.5,0.244650934,0.031023217
-158.25,0.244932754,0.031013234
-158,0.245320756,0.031047662
-157.75,0.245726807,0.030984423
-157.5,0.246056603,0.030997818
-157.25,0.24624922,0.03095814
-157,0.246300428,0.030993246
-156.75,0.24626229,0.030939646
-156.5,0.246223,0.030955235
-156.25,0.246277204,0.030958222
-156,0.246496824,0.030958879
-155.75,0.246908833,0.030978068
-155.5,0.247483759,0.030938063
-155.25,0.248138387,0.030986256
-155,0.248755599,0.030952837
-154.75,0.249220152,0.030991919
-154.5,0.249461159,0.030939187
-154.25,0.249484486,0.030957541
-154,0.249377915,0.030969179
-153.75,0.249281868,0.030948356
-153.5,0.249335408,0.030954438
-153.25,0.249621323,0.030952601
-153,0.250136277,0.03095435
-152.75,0.250799455,0.030968881
-152.5,0.251492806,0.030960668
-152.25,0.252109999,0.030949657
-152,0.252589343,0.030967414
-151.75,0.2529186,0.030948615
-151.5,0.253117894,0.030955943
-151.25,0.253218555,0.030961055
-151,0.253253569,0.030959985
-150.75,0.253262245,0.030960407
-150.5,0.253298132,0.030961865
-150.25,0.253425458,0.030959708
-150,0.25369814,0.030965768
-149.75,0.254130307,0.030949012
-149.5,0.254677067,0.0309611
-149.25,0.25524149,0.030956491
-149,0.255709464,0.030973627
-148.75,0.255997382,0.030964214
