trial_number,value,state,duration,lr,batch_size,lambda1_metaweight
641,0.07232358751681027,PRUNED,0:00:01.196887,0.010507337730282389,127,1.3790837001152512
642,0.09847922122256982,PRUNED,0:00:01.200892,0.01680912063337354,128,1.3845241791468674
643,0.04525637015186507,PRUNED,0:00:02.749785,0.01167832269019988,131,1.3801788237919863
644,0.07519634751869099,PRUNED,0:00:01.352536,0.012709789955034582,135,1.350009375513233
645,0.14993645779207243,PRUNED,0:00:01.363624,0.03618981827356058,134,1.3510833421572577
646,0.06788422983192222,PRUNED,0:00:01.260532,0.012219962148367758,133,1.3531974855390532
647,0.0029071675983381212,COMPLETE,0:00:20.179994,0.011671477011821196,142,1.3713635206281685
648,0.5755737599041035,PRUNED,0:00:00.629267,0.01110551112535682,141,1.3634265762196796
649,0.5873188651097354,PRUNED,0:00:00.644559,0.0111400324038954,141,1.3650252709865474
650,0.5663281405782875,PRUNED,0:00:00.629028,0.010871884191017752,139,1.3187755402745875
651,0.553878634294242,PRUNED,0:00:00.665727,0.008560131957081522,117,1.3150538207958524
652,0.0508765634149313,PRUNED,0:00:01.936112,0.01586307449315996,118,1.4157134633077764
653,0.0681647043908015,PRUNED,0:00:01.285892,0.02320150051500398,118,1.4708159805018888
654,0.05209726375746138,PRUNED,0:00:01.894435,0.0213658090790776,117,0.995929411032819
655,0.08056797764305049,PRUNED,0:00:01.281628,0.015661122410741673,119,1.3385044379755027
656,0.1239025864044046,PRUNED,0:00:01.261526,0.01599380866057555,124,0.9961409357891209
657,0.6118738126326231,PRUNED,0:00:00.639933,0.008389106300943196,124,1.007150931577378
658,1.6422091395247216,PRUNED,0:00:00.638192,0.00031630882498112075,124,1.2962191014163849
659,0.6726577300734881,PRUNED,0:00:00.557861,0.009055184341562559,159,1.076792622102042
660,0.05265293483845672,PRUNED,0:00:02.035992,0.008917549570727356,111,1.3284135699944466
661,0.8154756055083326,PRUNED,0:00:00.496712,0.00878443404616337,204,1.340533368961477
662,0.003937834625417067,COMPLETE,0:00:21.798116,0.008972099436087726,112,1.3242371084221374
663,0.698748423836448,PRUNED,0:00:00.546725,0.009282910053852336,173,1.3388205949431393
664,0.6027763818352543,PRUNED,0:00:00.686290,0.006695736872446387,111,1.3162437975004635
665,0.0752345198765397,PRUNED,0:00:01.462981,0.013617863001787908,105,0.9365874546824896
666,0.07876937362481151,PRUNED,0:00:01.324173,0.013109118683584532,112,1.3134792115385403
667,0.074243330785374,PRUNED,0:00:01.195431,0.012877535000372396,149,1.291101734245802
668,0.5391115284309937,PRUNED,0:00:00.633845,0.01297148535978946,146,1.2902075199165675
669,0.07689139613603044,PRUNED,0:00:01.247679,0.01935306972753005,149,1.2958341533392377
670,0.838881760262526,PRUNED,0:00:00.530954,0.006575989830541539,182,1.3830880483944508
671,0.8065479182853148,PRUNED,0:00:00.537072,0.006924177101704604,183,1.3782155886131446
672,0.6964449853929755,PRUNED,0:00:00.637685,0.006511144824408297,130,1.3852501100975723
673,0.552747862949355,PRUNED,0:00:00.616952,0.010367694949333208,130,1.2642604297196847
674,0.08562634776213339,PRUNED,0:00:01.263239,0.018976857827746624,135,1.2371077137874789
675,0.5770633480336407,PRUNED,0:00:00.540395,0.018758346818112285,188,1.2389402112622585
676,0.6078304982871461,PRUNED,0:00:00.672248,0.010324772140279378,136,0.79052068583686
677,0.5945928731410624,PRUNED,0:00:00.624519,0.009939550259242697,136,1.2346991268566858
678,1.8190788082909166,PRUNED,0:00:00.572764,6.119117520647486e-05,166,1.3535033650824948
679,0.766591740506036,PRUNED,0:00:00.552214,0.008024105924287294,193,0.823987628310183
680,0.5548290890090319,PRUNED,0:00:00.538948,0.05191075245683144,193,1.357600151451228
681,0.9157443188618277,PRUNED,0:00:00.546551,0.005552937439286766,177,1.3600554670309082
682,1.2063426876736578,PRUNED,0:00:00.554456,0.0019975207574208383,177,1.3588595723055206
683,1.207556296731824,PRUNED,0:00:00.545975,0.00196356321289805,178,0.6618891599676469
684,0.949903438212695,PRUNED,0:00:00.572526,0.005152479760906873,176,1.2665963820176005
685,0.06943510648804707,PRUNED,0:00:01.423821,0.008112492541937877,104,1.3283562939089997
