aCO2,U,flux_CO,flux_H2,flux_HCOO
0.000000000000000000e+00,-1.040000000000000036e+00,0.000000000000000000e+00,1.187158495448261420e-06,0.000000000000000000e+00
1.000000000000000048e-04,-1.040000000000000036e+00,4.328195877029250163e-09,1.184788917613035224e-06,6.732749142045501264e-09
1.778279410038922698e-04,-1.040000000000000036e+00,7.684803637799364001e-09,1.182951259711810969e-06,1.195413899213234639e-08
3.162277660168379394e-04,-1.040000000000000036e+00,1.362813912521335116e-08,1.179697433767141873e-06,2.119932752810966213e-08
5.623413251903490971e-04,-1.040000000000000036e+00,2.411667644400955511e-08,1.173955224712680073e-06,3.751483002401486719e-08
1.000000000000000021e-03,-1.040000000000000036e+00,4.251815949787557537e-08,1.163880877890452248e-06,6.613935921891758375e-08
1.778279410038922752e-03,-1.040000000000000036e+00,7.447268605513662409e-08,1.146386582341795131e-06,1.158464005302125278e-07
3.162277660168379394e-03,-1.040000000000000036e+00,1.289855481050938552e-07,1.116542168336906184e-06,2.006441859412571729e-07
5.623413251903490971e-03,-1.040000000000000036e+00,2.192234447154247792e-07,1.067139200961957976e-06,3.410142473351052473e-07
1.000000000000000021e-02,-1.040000000000000036e+00,3.614043557319424138e-07,9.892987462068845169e-07,5.621845533607993692e-07
2.000000000000000042e-02,-1.040000000000000036e+00,6.195503241119012809e-07,8.479703538916153607e-07,9.637449486185133859e-07
4.000000000000000777e-02,-1.040000000000000036e+00,9.637449486185131741e-07,6.595324974712563446e-07,1.499158808962131863e-06
6.000000000000001166e-02,-1.040000000000000036e+00,1.182777891486357299e-06,5.396174979310278413e-07,1.839876720089889249e-06
8.000000000000001554e-02,-1.040000000000000036e+00,1.334416082702557061e-06,4.565994213262542377e-07,2.075758350870644411e-06
1.000000000000000194e-01,-1.040000000000000036e+00,1.445617422927769867e-06,3.957194984827537009e-07,2.248738213443197900e-06
