trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,w_dx,w_dz
90,0.45733244361182457,PRUNED,0:00:05.941609,0.021965967171613362,24,37,42,27,0.6119112750193394,1.427719172229828
91,0.004696937016982407,COMPLETE,0:00:15.049749,0.004661044732394704,26,101,72,35,0.6234608883184739,1.6099514629004061
92,0.004777772329188424,COMPLETE,0:00:15.569937,0.02077656359247695,26,40,35,20,0.11097854120363931,1.4346382426525166
93,0.005725594116818474,COMPLETE,0:00:08.900250,0.0044943588847369915,55,45,73,50,0.29874544646720497,1.4197442317176325
94,0.004831481688188072,COMPLETE,0:00:20.738339,0.004370872316937072,18,111,75,35,0.1700931130302928,1.4832390925208017
95,2.120906425373895,PRUNED,0:00:00.304555,0.0003451584169950262,53,110,34,35,0.13457945984763747,1.579048544293938
96,0.0049130096541779395,COMPLETE,0:00:21.813226,0.004316939436946633,16,102,64,20,0.1657227913287907,1.4736205171979342
97,0.004390219628209659,COMPLETE,0:00:19.720076,0.0020786490877612368,18,63,73,20,0.32934343382189446,1.4942749137423397
98,0.004966646186346355,COMPLETE,0:00:22.499268,0.0026940289553557374,16,102,64,34,0.10430195336569253,1.493086967848231
99,0.004462390664424915,COMPLETE,0:00:21.763628,0.0028731722215680627,17,102,88,24,0.4382795725489799,1.602910595142429
100,0.004654862845486482,COMPLETE,0:00:13.947392,0.0018561180054838837,29,98,86,24,0.3489429484334643,1.613392760482621
101,0.004878424779927839,COMPLETE,0:00:15.211398,0.0020275363570614654,27,100,28,20,0.1704139753649591,1.6216362801116373
102,0.004775453593724087,COMPLETE,0:00:22.795405,0.0017832757120433223,16,101,27,21,0.1882180161589994,0.6478609132170481
103,0.004437623342516494,COMPLETE,0:00:25.854945,0.0020167213019904344,16,101,86,23,0.1835172833864389,1.6026949997164146
104,0.005065301498808319,COMPLETE,0:00:25.048994,0.0007429430012673632,16,102,86,20,0.34514114982564537,1.4792357346859226
105,0.004301945409940017,COMPLETE,0:00:23.089896,0.0019993039805595303,16,102,66,20,0.15025907503848795,1.3470829573907621
106,0.005652859971515732,COMPLETE,0:00:23.564863,0.0019290224427298088,17,31,88,24,0.3301767047594647,1.3589099904531592
107,0.0048489609610233055,COMPLETE,0:00:22.797654,0.0022081036509477635,17,30,86,24,0.4442502568229387,1.254461022262583
108,0.3580525510690429,PRUNED,0:00:08.420240,0.0018725855403534726,27,90,85,24,0.44520652616917106,1.3587360559516102
109,0.38096164633529356,PRUNED,0:00:05.878537,0.0017308407336529192,30,116,90,24,0.4505231770171051,1.7277576222571709
110,0.5184924385613865,PRUNED,0:00:02.589756,0.0018102190869606141,33,92,88,25,0.449100827317752,1.3601340826110602
111,2.024669768593528,PRUNED,0:00:00.403123,0.0006869695081104115,36,97,84,24,0.3260692461644221,1.5955119905454709
112,0.004666962862112297,COMPLETE,0:00:27.990236,0.002160200081361412,13,91,85,25,0.27038062680607067,1.374873953458862
