trial_number,value,state,duration,lr,batch_size
465,0.9897461650742945,PRUNED,0:00:01.994731,0.002100182384320835,19
466,0.23925490746970732,PRUNED,0:00:06.203403,0.0035977207364896306,11
467,2.6577291736589648,PRUNED,0:00:08.551729,0.09056325186099373,4
468,0.2567941242669896,PRUNED,0:00:05.571212,0.0026512024649438456,12
469,0.1891136561820576,PRUNED,0:00:05.873174,0.0026644955259653917,12
470,0.2248600860647885,PRUNED,0:00:05.523507,0.008502671933231527,13
471,0.3036324126174651,PRUNED,0:00:03.564591,0.008417197992653475,21
472,0.19564647348879866,PRUNED,0:00:17.044018,0.008340260718279719,4
473,0.0029407755776524698,COMPLETE,0:00:23.568328,0.005178837650848609,20
474,0.0026785769142420356,COMPLETE,0:00:23.417728,0.005468183911102496,20
475,0.1331848158724298,PRUNED,0:00:25.404462,0.005072136760342324,4
476,0.8333861511231659,PRUNED,0:00:01.412449,0.005015148993078942,29
477,0.8544147885381282,PRUNED,0:00:01.469506,0.0047992098960773074,29
478,0.32191378121672115,PRUNED,0:00:03.974153,0.0119233022809111,19
479,0.31535303843469403,PRUNED,0:00:04.156365,0.01275899133669381,19
480,0.194184636868058,PRUNED,0:00:03.705989,0.012814523780278043,20
481,0.3285805631294308,PRUNED,0:00:03.692907,0.018692796423454977,21
482,0.27413698693154137,PRUNED,0:00:03.649377,0.01654905921701657,22
483,0.29422666855060214,PRUNED,0:00:03.038439,0.018787264356435157,25
484,0.0029360952023820947,COMPLETE,0:00:17.951486,0.0074025854017622204,28
485,0.1937974135510735,PRUNED,0:00:02.926144,0.007279525910805951,29
486,0.0029641034902491868,COMPLETE,0:00:16.223506,0.007086917335490889,30
487,0.0036108132215581642,COMPLETE,0:00:28.983568,0.005506500676535366,15
488,0.2298948652114734,PRUNED,0:00:05.177296,0.005539109438240286,14
489,1.7510484553452357,PRUNED,0:00:01.198778,0.0010915439162546019,34
490,0.28900731974123156,PRUNED,0:00:04.583200,0.005549723746262266,16
491,0.2951941190508115,PRUNED,0:00:04.711290,0.006774000094749465,16
492,0.26858499748776576,PRUNED,0:00:04.934389,0.007002261201995398,15
493,0.7442048584285939,PRUNED,0:00:01.497134,0.0066460517112988,28
494,0.2922076620674482,PRUNED,0:00:05.036888,0.006978046285024857,15
495,0.3064980544457751,PRUNED,0:00:04.748153,0.009851306587526611,16
496,0.0032043169670790948,COMPLETE,0:00:18.596927,0.009274526778236362,26
497,0.21410911254467205,PRUNED,0:00:02.977139,0.0100199673848627,25
498,0.2918889410098964,PRUNED,0:00:03.237414,0.009799827983193787,25
499,0.2319866987733622,PRUNED,0:00:03.283495,0.009134330919727287,25
500,1.4973676768131554,PRUNED,0:00:00.512573,0.011027464873798245,137
501,0.3137381715345974,PRUNED,0:00:03.292704,0.009673458368111846,24
502,0.8629523400761208,PRUNED,0:00:01.703665,0.003989315114957568,24
503,1.0208078814357973,PRUNED,0:00:01.189035,0.0043865877614285755,38
504,0.26289752357710633,PRUNED,0:00:03.196378,0.005461388851046072,23
505,0.7683649870068437,PRUNED,0:00:01.802652,0.004078368934014782,22
506,0.7548816776787391,PRUNED,0:00:01.849708,0.004175320608625085,22
507,0.7732619989169649,PRUNED,0:00:01.937412,0.004075464792349112,21
508,0.9681548592420893,PRUNED,0:00:01.354343,0.004119381888722924,32
509,0.0032659736143087954,COMPLETE,0:00:22.380609,0.00550106738497783,20
510,0.8285378941051913,PRUNED,0:00:01.344906,0.005620123755418615,31
511,0.12381858150243821,PRUNED,0:00:11.349484,0.0054721401754192454,9
512,0.1304542206704986,PRUNED,0:00:11.566825,0.005395847069391559,9
513,0.11030456015751475,PRUNED,0:00:14.231864,0.005796400254232286,10
514,0.1312335382777551,PRUNED,0:00:11.799446,0.005571963927540426,8
515,0.12489550724642685,PRUNED,0:00:10.398445,0.005746463755726251,10
516,0.2065113902613478,PRUNED,0:00:07.242721,0.013771384226979514,10
517,3.805951720628983,PRUNED,0:00:00.394164,2.977523716962089e-05,225
518,2.5467319715460506,PRUNED,0:00:01.051125,0.00043168476854138374,40
519,0.2915310909931655,PRUNED,0:00:02.498285,0.014398026208419614,34
520,1.8577248333156973,PRUNED,0:00:00.391759,0.014725980226855253,254
521,2.665131214236425,PRUNED,0:00:02.193625,0.00016120226002774903,18
522,1.241813383460824,PRUNED,0:00:01.112994,0.003266273418866034,38
523,1.2309503120601557,PRUNED,0:00:01.120298,0.0032129155445538467,37
524,1.110580769808669,PRUNED,0:00:01.275812,0.0031118717743337746,34
525,0.1166040952940864,PRUNED,0:00:08.443474,0.007649789271187755,18
526,0.30094405877154046,PRUNED,0:00:04.225688,0.00801989193415792,17
527,0.28678355437953296,PRUNED,0:00:04.545580,0.008107165766144609,17
528,0.2642161495029187,PRUNED,0:00:04.406280,0.008076068424875746,18
529,0.19759767844182688,PRUNED,0:00:04.659414,0.008199044278897736,17
530,0.28223517928181624,PRUNED,0:00:04.507797,0.007939247454862864,17
531,0.796022474381507,PRUNED,0:00:00.952586,0.027535053113430373,50
532,0.27636091989791733,PRUNED,0:00:03.816788,0.007588269908424386,19
533,0.2863965026125279,PRUNED,0:00:04.102790,0.007722131309376306,19
534,0.7639919092472699,PRUNED,0:00:01.429719,0.0069043750390439425,29
535,0.9092980141586363,PRUNED,0:00:01.410536,0.00430436474040046,30
536,0.8963867933706142,PRUNED,0:00:01.494757,0.004282836034009306,28
537,0.8392239777233432,PRUNED,0:00:01.386420,0.004367914553442601,30
538,0.7479881983099863,PRUNED,0:00:01.765947,0.004342982440792935,22
539,0.2640695142285185,PRUNED,0:00:16.674880,0.011850788897803857,4
540,0.32351303121281993,PRUNED,0:00:03.513147,0.01211609615184551,22
541,0.23411512092231362,PRUNED,0:00:16.611245,0.011619346914650615,4
542,2.542349311520574,PRUNED,0:00:07.816630,0.05085513908835059,4
543,1.5945958894327146,PRUNED,0:00:00.421275,0.011674521043436036,161
544,0.22011587104295732,PRUNED,0:00:16.301266,0.010196612922506133,4
545,0.0896378460962794,PRUNED,0:01:08.487456,0.0034250681205720756,4
546,0.2431979397121514,PRUNED,0:00:05.530758,0.011761495376063268,13
547,0.0032319719179600913,COMPLETE,0:00:28.493142,0.003341374241566716,13
548,0.11023993860988543,PRUNED,0:00:10.717112,0.0035437138556360455,13
549,0.1274502876969629,PRUNED,0:00:20.280069,0.0035220031445618006,5
550,0.0026999980157202392,COMPLETE,0:00:32.592380,0.003562428625343367,12
551,0.9449597354042992,PRUNED,0:00:01.513526,0.0031970676728353565,25
552,1.8863104818281062,PRUNED,0:00:00.468669,0.005969351807928407,144
553,0.22178583607177607,PRUNED,0:00:05.528151,0.010377615694703178,13
554,0.20692482377325394,PRUNED,0:00:05.565883,0.006551366547753629,13
555,0.2069505277980047,PRUNED,0:00:05.842182,0.006623948721372679,12
556,0.24843595461189835,PRUNED,0:00:02.956848,0.006415705561724675,26
