trial_number,value,state,duration,lr,batch_size,latent_dim,poly_order,lambda1_metaweight
402,0.21452005621356654,PRUNED,0:00:35.283865,0.00248100216959532,8,3,2,1.4354033853933703
403,0.25311806473236154,PRUNED,0:00:11.290712,0.001060009130330324,8,3,2,1.4250289292056357
404,1.3439667020271073,PRUNED,0:00:00.280019,0.0025321942784363454,97,3,2,0.7361325918493489
405,0.365091219474909,PRUNED,0:00:03.068017,0.007477059234840689,12,3,2,1.4293865199579845
406,1.028135916190361,PRUNED,0:00:01.531270,0.0006671404693722931,12,3,2,0.7631457639027507
407,0.9518534200002394,PRUNED,0:00:01.921219,0.0006842702866575438,10,3,2,0.6992216880442027
408,1.6510900964068995,PRUNED,0:00:00.826678,0.00017602284443456528,25,3,2,1.30562828750059
409,0.3287839315284234,PRUNED,0:00:06.609918,0.0046027565381784276,8,3,2,0.7092421762985514
410,0.2611418936962951,PRUNED,0:00:12.292764,0.00174449378632261,8,3,2,1.3668820545748943
411,0.27020130703011813,PRUNED,0:00:08.695722,0.0017558649529011443,9,3,2,0.700468574671632
412,1.2043894856021955,PRUNED,0:00:00.689741,0.000998262345550802,31,3,2,1.3728937726008517
413,0.2955140680679921,PRUNED,0:00:07.188804,0.004154154391002852,9,3,2,0.7114149686640036
414,0.30698402455219853,PRUNED,0:00:05.340003,0.00464213848467495,13,3,2,0.7409856319313997
415,0.889179804282529,PRUNED,0:00:01.194465,0.0017474233471296767,23,3,2,0.7440145456790886
416,0.8034398329803367,PRUNED,0:00:01.751978,0.001506489087826966,14,3,2,0.7892631290707506
417,1.3287952619023842,PRUNED,0:00:00.437802,0.0015447677749626748,64,4,2,1.3594038050508452
418,0.34708525853998523,PRUNED,0:00:02.905026,0.0021144688249161965,14,3,2,1.2137860960044273
419,0.2156519630278637,PRUNED,0:00:15.484066,0.0021716115761531924,14,3,2,1.2933692498379274
420,1.4685497050191842,PRUNED,0:00:00.319713,0.002501589909958157,127,3,2,1.286850720819017
421,1.0135888169000755,PRUNED,0:00:01.294531,0.0008290624732912122,15,3,2,0.7550641922608556
422,0.46113739998234426,PRUNED,0:00:01.589715,0.010187946967782939,26,3,2,1.0359978512821142
423,0.9754172617974488,PRUNED,0:00:00.805518,0.0021475498192460524,28,3,2,1.4109347606200506
424,1.0199517366153743,PRUNED,0:00:00.953825,0.001182864647857188,21,3,2,1.2193991848256807
425,1.0133973631244269,PRUNED,0:00:01.015159,0.0011578430150912466,20,3,2,0.959952483032363
426,1.7429522999695368,PRUNED,0:00:00.191575,0.0011883476739057925,231,3,2,1.438658277918119
427,1.0021047819089266,PRUNED,0:00:00.971314,0.0012042263141133964,21,3,2,0.9608813801684206
428,0.004144147409798184,COMPLETE,0:00:30.806798,0.0036369992353722396,21,3,2,0.7755782584628531
429,0.20607303268685728,PRUNED,0:00:19.412348,0.0036037218983641355,18,3,2,1.3426941006271673
430,0.004090654281661542,COMPLETE,0:00:20.861086,0.003651838182458847,37,3,2,0.7653081843134811
431,0.3104155347985629,PRUNED,0:00:03.475970,0.003771447304247125,19,3,2,1.323430353423261
432,0.8019525627295176,PRUNED,0:00:00.591531,0.0035098046311001657,39,3,2,1.3398507747566981
433,0.2690065700505207,PRUNED,0:00:06.793138,0.005739287472101632,16,3,2,1.3883025281044297
434,0.2727098029219743,PRUNED,0:00:07.371966,0.005790162806582202,15,3,2,1.3849173329296718
435,0.3001775139970566,PRUNED,0:00:04.530460,0.002699944941559037,12,3,2,1.465239820154088
436,0.005143249385955631,COMPLETE,0:00:58.460225,0.0027623344571315275,11,3,2,0.7601513685164637
437,1.2745538644058994,PRUNED,0:00:00.642727,0.0009115853356789408,34,3,2,0.7700058216997193
438,0.3030376808710888,PRUNED,0:00:06.455701,0.002782635342210461,8,3,2,1.4582832774956564
439,0.3037375544161903,PRUNED,0:00:13.118587,0.0014610466103576482,4,3,2,1.3526036072417291
440,1.0154785547661878,PRUNED,0:00:00.803301,0.0014417435439723165,26,3,2,0.6782898676752247
441,1.1987050052231818,PRUNED,0:00:00.897487,0.0008054083298478089,24,3,2,1.349193377158523
442,0.21503479854385849,PRUNED,0:00:54.902891,0.0014459496087308808,4,3,2,1.4066734592969188
443,1.3337292564220917,PRUNED,0:00:00.215563,0.007734430387150238,165,3,2,0.6400062438856746
444,0.21697046614691595,PRUNED,0:00:50.015342,0.001515546270989661,4,3,2,0.7309860232085508
445,0.22083450985810305,PRUNED,0:00:54.721032,0.0014021818058038292,4,3,2,0.728568453949313
446,0.9987531260464543,PRUNED,0:00:00.488767,0.004125824756308425,50,3,2,0.7949957118010695
447,0.8092530403264175,PRUNED,0:00:00.564018,0.005286643635284235,38,3,2,0.7709498451242331
448,0.3473469586326526,PRUNED,0:00:01.371262,0.003139733249405363,31,3,2,0.7497109695314228
449,0.27626161900804763,PRUNED,0:00:18.094972,0.0033746195885503757,4,3,2,0.8255703770943964
450,1.3000942537025229,PRUNED,0:00:01.787644,0.0970986246529367,11,3,2,0.8007040385073332
451,0.27677566778485385,PRUNED,0:00:17.453467,0.0029037461705656367,4,3,2,0.728041307227348
452,0.0056202433983850485,COMPLETE,0:00:19.746467,0.004355983955685339,35,3,2,0.7864544535399999
453,0.8415628058515536,PRUNED,0:00:00.514733,0.004008504869784076,41,3,2,0.7771095881539792
454,0.976889455318451,PRUNED,0:00:00.469583,0.003246073748277124,46,3,2,0.8293443596449571
455,0.005679029528051129,COMPLETE,0:00:22.737546,0.004699692031419014,33,3,2,0.8150724049429852
456,0.005086280499510922,COMPLETE,0:00:29.222861,0.004960383776437569,26,3,2,0.8023478138647632
457,0.30228797453813827,PRUNED,0:00:01.927188,0.005020300748853595,31,3,2,0.7626147046518363
458,0.23104521843479642,PRUNED,0:00:05.668731,0.006721276427917422,24,3,2,0.7853213861843764
459,0.8640121862231961,PRUNED,0:00:00.805480,0.0024799912751834107,26,3,2,0.8065591672736112
460,0.2267295910843781,PRUNED,0:00:07.919241,0.006362536747567357,23,3,2,0.7350495642687864
461,0.30805329033751894,PRUNED,0:00:02.763562,0.0025756924049455056,21,3,2,0.7334934613790457
462,0.004110752451213933,COMPLETE,0:00:28.522136,0.005271073070696127,29,3,2,0.7617757557145807
463,0.005985225788657644,COMPLETE,0:00:28.166485,0.004111521002464907,29,3,2,0.7590008037706756
464,0.006718526393825309,COMPLETE,0:00:43.481923,0.003660441671418987,17,3,2,0.7595678014778027
465,0.9781182219047804,PRUNED,0:00:00.685363,0.002181982850472203,29,3,2,0.7570805565543375
466,0.19488041605504733,PRUNED,0:00:37.559880,0.0036517142073776536,17,3,2,0.7720939377744108
467,0.005005704968031756,COMPLETE,0:00:43.723594,0.0033687596130117146,17,3,2,0.8508538766181455
468,0.28486009423064174,PRUNED,0:00:05.530226,0.0032154537134321975,17,3,2,0.8948474522379862
469,0.004192358271099008,COMPLETE,0:00:42.080441,0.0036659758953643774,18,3,2,0.7475676290950782
470,0.29396237528958574,PRUNED,0:00:03.553949,0.003439313042018339,18,3,2,0.7795840782697784
471,0.21613824421785124,PRUNED,0:00:14.721923,0.00386197422510825,18,3,2,1.241866169269608
472,0.5138089194109565,PRUNED,0:00:03.795005,0.014728904826735521,13,3,2,0.7580465076001596
473,0.7967782240120971,PRUNED,0:00:01.802078,0.001992739559624668,18,3,2,0.7474662471845593
474,0.31826170074524185,PRUNED,0:00:04.120561,0.00838872347670944,14,3,2,0.6902524990052569
475,0.4711059190936991,PRUNED,0:00:01.458480,0.010873975373363433,29,3,2,0.7686173956711003
476,0.23643084591173608,PRUNED,0:00:05.056661,0.009019419007244098,35,3,2,0.7141046073067691
477,0.24014382351722036,PRUNED,0:00:10.881934,0.008425169800778141,23,3,2,0.7202681355979523
478,1.146310969988505,PRUNED,0:00:00.341977,0.006821452644456761,86,3,2,0.7182781425910952
479,0.2861301430007991,PRUNED,0:00:10.807637,0.005661252738870553,21,3,2,0.7410284757644512
480,0.27102644583337926,PRUNED,0:00:10.374677,0.006033762686644528,22,3,2,0.7793624955938979
481,0.2525390118026911,PRUNED,0:00:11.347289,0.006661180890703031,24,3,2,0.7742897620282991
482,1.199911980305688,PRUNED,0:00:00.268411,0.005230029641166099,109,3,2,0.7481088759653605
483,1.7788409284182958,PRUNED,0:00:01.274312,8.890178805885188e-06,23,3,2,0.7797270189822136
484,0.9753269433595573,PRUNED,0:00:00.582450,0.0024809793489731407,41,3,2,0.7746539566108335
485,1.5406204422314962,PRUNED,0:00:00.304757,0.003736446051349683,215,3,2,0.7877737551229187
486,0.34282059405944243,PRUNED,0:00:04.137417,0.0018620909550932274,12,3,2,1.4113437935171367
487,0.26611169565417997,PRUNED,0:00:08.581280,0.001866768954342661,11,4,2,0.741308043667991
488,0.37897835913767564,PRUNED,0:00:03.762227,0.0017952385776104176,12,2,2,1.4136701656573427
489,0.30082578984881514,PRUNED,0:00:05.544451,0.001843789143216429,12,3,2,1.4114267410928092
490,0.007005065146069214,COMPLETE,0:00:49.516436,0.0029443518141669994,12,3,2,0.7451896655522748
491,0.9149383230264797,PRUNED,0:00:00.835757,0.0023452749378565416,30,4,2,0.7504087850495373
492,1.467970143664967,PRUNED,0:00:00.242974,0.003018474144246288,148,3,2,0.8468720840946641
493,0.2018845063589868,PRUNED,0:00:21.084404,0.004679759321944567,17,3,2,0.7326457260786478
494,0.28153159734713346,PRUNED,0:00:09.709234,0.004785158633892454,10,3,2,0.6785623943538358
495,0.2940569763675819,PRUNED,0:00:06.683189,0.00275195503451291,10,3,2,1.3767712904197162
496,0.8909070228731166,PRUNED,0:00:00.750541,0.002454399245572815,36,3,2,0.7276970409259712
497,0.8469922510178193,PRUNED,0:00:01.262425,0.002842180750806217,28,3,2,1.3735479766227807
498,1.4731548958354526,PRUNED,0:00:00.384651,0.004481140951877824,179,3,2,1.3763002698356093
499,0.8517736162708587,PRUNED,0:00:01.049248,0.003070289882266152,27,3,2,1.3928326580934585
500,0.005645603818510404,COMPLETE,0:01:02.836571,0.0022241543682815067,9,3,2,0.6941519604961999
501,0.21721483370850955,PRUNED,0:00:14.796611,0.004999571489714285,17,3,2,0.8057193475897199
502,0.008917672242418719,COMPLETE,0:01:02.640366,0.0021941458651983598,9,3,2,0.8019237059595019
503,0.006112175882969996,COMPLETE,0:01:02.467545,0.0022123199006773573,9,3,2,0.6991779801087361
504,0.31696478287879826,PRUNED,0:00:06.507419,0.005078007929182548,9,3,2,0.7361520151164773
505,0.22231964652542197,PRUNED,0:00:08.522363,0.005501391811979926,21,3,2,0.699563922464573
506,0.006649443032781841,COMPLETE,0:00:30.754548,0.003922124820621839,20,3,2,0.8007251445663385
507,0.2497079578062443,PRUNED,0:00:04.521100,0.0022256674940863124,22,3,2,0.7109546642540593
508,0.193521076488999,PRUNED,0:00:28.920219,0.003984591276565191,16,3,2,0.7992720856396055
509,0.004073122483417035,COMPLETE,0:00:44.169256,0.0023292942375346057,13,3,2,0.7156229124096166
510,0.2227939033964232,PRUNED,0:00:16.730435,0.0038584879000151335,12,3,2,0.7547211347024565
511,0.2940750473984446,PRUNED,0:00:04.049468,0.002436629733377854,14,3,2,0.7194802676362696
512,0.24802251641566936,PRUNED,0:00:03.068493,0.007109787655816262,33,3,2,0.8032243885182869
513,0.2803064648698525,PRUNED,0:00:07.577377,0.0029664094650735683,9,3,2,0.7462157195130162
514,0.2962717851767173,PRUNED,0:00:01.739480,0.007041298758990686,33,3,2,0.6893105278295101
515,0.24287883542097669,PRUNED,0:00:19.876016,0.0021922508743687113,8,3,3,0.6932622460967561
516,0.2423743487499274,PRUNED,0:00:20.318174,0.0022337427369817776,8,3,3,0.6954357165730736
517,0.2296397925202606,PRUNED,0:00:21.444521,0.0022137827234239792,8,3,3,0.6560764051931818
518,0.903348220625387,PRUNED,0:00:00.759434,0.0021649600233241795,26,3,2,0.7676042059917185
519,1.074906076674592,PRUNED,0:00:00.681873,0.0021824074696584384,44,3,3,0.7223156139001856
