trial_number,value,state,duration,lr,batch_size,latent_dim,poly_order
399,0.004125962808748162,COMPLETE,0:00:47.127577,0.0034071459285061677,29,3,2
400,0.0041767534003029775,COMPLETE,0:00:38.278640,0.005180749271138763,42,3,2
401,0.0037308787962264654,COMPLETE,0:00:38.278171,0.003508051947711974,40,3,2
402,0.9801113434221552,PRUNED,0:00:00.496448,0.005234117375148873,219,3,2
403,0.04705576476675493,PRUNED,0:00:07.819580,0.006004971743658122,28,3,2
404,0.0035435638266633623,COMPLETE,0:01:33.692224,0.006211753469561932,13,3,2
405,1.116343085483838,PRUNED,0:00:00.472317,0.0033003544020561667,203,3,2
406,0.003681737157985277,COMPLETE,0:00:52.376182,0.004343042010619843,24,3,2
407,0.0034333210502304847,COMPLETE,0:00:50.505950,0.002961987917769112,25,3,2
408,0.08252695553182136,PRUNED,0:00:04.393445,0.002371163149289237,25,3,2
409,0.04825424878274054,PRUNED,0:00:18.197306,0.002744698900745711,11,3,2
410,1.1980390965938568,PRUNED,0:00:00.421659,0.0030130807632817343,238,3,2
411,0.0038411535154440997,COMPLETE,0:01:00.035251,0.008303460875052729,22,3,2
412,0.892459310690562,PRUNED,0:00:00.401220,0.008214703431429606,253,3,2
413,0.09109945797708706,PRUNED,0:00:05.223899,0.0018434331135776915,20,3,2
414,0.9583563370522389,PRUNED,0:00:03.853575,0.00021233025894738775,13,3,2
415,0.0031987269090250894,COMPLETE,0:01:11.401746,0.007134499898220966,36,3,3
416,0.0032836998021373034,COMPLETE,0:01:13.129112,0.007195038938420464,16,3,2
417,0.003319528246270347,COMPLETE,0:01:33.807492,0.004360188824562625,22,3,3
418,0.03604649818676003,PRUNED,0:00:07.200844,0.009197092590952633,80,3,2
419,0.0966999442827088,PRUNED,0:00:05.941282,0.0012740995641177936,18,3,2
420,0.004336955895567007,COMPLETE,0:01:36.238883,0.007017134208352235,21,3,3
421,0.7857352937712814,PRUNED,0:00:00.507477,0.007022977202081822,192,3,2
422,0.00454941762028338,COMPLETE,0:01:10.578961,0.006655959439883379,35,3,3
423,0.003047515226421749,COMPLETE,0:00:33.535003,0.010456752574547923,47,3,2
424,0.004431998651734851,COMPLETE,0:01:43.626063,0.01104529455471787,36,3,3
425,0.04621355163936432,PRUNED,0:00:06.898613,0.010181994581556929,33,3,2
426,0.04726710554744516,PRUNED,0:00:04.382495,0.011042783245028774,54,3,2
427,0.054204987745124396,PRUNED,0:00:03.726728,0.020993876262885725,67,3,3
428,0.046750847771763804,PRUNED,0:00:09.576888,0.020419569419320903,63,3,3
429,0.033483437361753535,PRUNED,0:00:14.412407,0.011882841153678648,48,3,2
430,0.04061967850707117,PRUNED,0:00:07.726750,0.01135289160367641,45,3,2
431,0.003177774494133272,COMPLETE,0:01:09.090494,0.011589958191675456,43,3,3
432,0.05178831724656953,PRUNED,0:00:19.782364,0.017282903285578792,35,3,3
433,0.05541410598044212,PRUNED,0:00:02.165043,0.016366005044533352,146,3,3
434,0.004136526157404505,COMPLETE,0:01:54.170507,0.007448034902819076,19,3,3
435,0.003927050977263953,COMPLETE,0:01:53.479635,0.0073117895110444775,19,3,3
436,0.003753413104499664,COMPLETE,0:01:02.844854,0.008294618004160686,46,3,3
437,0.0038929342704028917,COMPLETE,0:01:44.366870,0.008087546628593524,22,3,3
438,0.003520981089669235,COMPLETE,0:00:58.003899,0.008801462571179608,50,3,3
439,0.004048341907872623,COMPLETE,0:00:56.261344,0.0088277022819167,48,3,3
440,0.00453582566485298,COMPLETE,0:01:05.825839,0.009360833927677755,47,3,3
441,0.0032285475780356888,COMPLETE,0:01:00.693670,0.00956000014775646,49,3,3
442,0.0028932363420878186,COMPLETE,0:00:58.741720,0.009934298766980784,50,3,3
443,0.04497384717302746,PRUNED,0:00:06.759046,0.01373026684595361,46,3,3
444,0.003819111241310794,COMPLETE,0:01:03.578126,0.009627306154482717,43,3,3
445,0.003697795159278333,COMPLETE,0:01:10.225378,0.012305321314963643,41,3,3
446,0.6215980404923702,PRUNED,0:00:00.618468,0.012811227015233623,164,3,3
447,0.0034838164397729614,COMPLETE,0:01:04.767214,0.009606575186100806,39,3,3
448,0.004755390705213579,COMPLETE,0:01:03.285773,0.010088397164855078,40,3,3
449,0.22566779489802608,PRUNED,0:00:03.841061,0.03461551960432118,40,3,3
450,0.5039698832388063,PRUNED,0:00:00.476448,0.024688053307837975,185,3,2
451,0.052592834137791505,PRUNED,0:00:02.920977,0.010273671008286125,58,3,2
452,0.04478845131184374,PRUNED,0:00:05.349777,0.015435367208522885,54,3,2
453,0.03266502040187045,PRUNED,0:00:23.219417,0.016061581676808958,30,3,2
454,1.8227258499930887,PRUNED,0:00:01.669282,1.7537402634023344e-06,53,3,3
455,0.03613679897749708,PRUNED,0:00:15.705898,0.010535423029314686,45,3,3
456,0.0036279665313122527,COMPLETE,0:01:11.599340,0.011072671155036852,39,3,3
457,0.03650686800188977,PRUNED,0:00:12.354583,0.011687927825584404,41,2,3
458,0.03488909659824727,PRUNED,0:00:15.733470,0.0103090459344238,44,3,3
459,0.004245448081841053,COMPLETE,0:00:55.394981,0.013001532353220555,55,3,3
460,0.5853015986504033,PRUNED,0:00:01.469288,0.002213883148811761,59,3,3
461,0.003303077551323101,COMPLETE,0:00:56.153733,0.012494648574326079,51,3,3
462,0.04577077970046688,PRUNED,0:00:06.317992,0.012282136951241479,50,3,3
463,0.0036726328464379344,COMPLETE,0:00:55.870857,0.013451250435246306,53,3,3
464,0.057464910663418044,PRUNED,0:00:06.007161,0.02023165655299302,39,3,3
465,0.06065026546268156,PRUNED,0:00:06.070825,0.018726759935802355,38,3,3
466,0.004027147338443972,COMPLETE,0:01:01.494451,0.016255677328377842,54,3,3
467,0.003657378067811894,COMPLETE,0:00:58.926556,0.013776960746443056,55,3,3
468,0.044825104630057705,PRUNED,0:00:06.344581,0.01312566032392583,51,3,3
469,0.04531595576022353,PRUNED,0:00:05.988534,0.013504595336010762,54,3,3
470,0.9965473705530167,PRUNED,0:00:00.593095,0.004923304541933557,190,3,3
471,0.930176106095314,PRUNED,0:00:00.583124,0.005848949439493159,189,3,3
472,0.6449223111073176,PRUNED,0:00:00.654698,0.016240450249765996,197,3,3
473,0.6567426438753804,PRUNED,0:00:00.621319,0.01594341737723411,198,3,3
474,0.004642740773203298,COMPLETE,0:01:18.282199,0.008280137028505568,32,3,3
475,0.7750644929779386,PRUNED,0:00:00.570519,0.008577968308318673,184,3,3
476,0.840930485063129,PRUNED,0:00:00.448454,0.006284798145499811,192,3,2
477,0.7923436936806645,PRUNED,0:00:01.036657,0.0016640899525328867,56,3,2
478,0.0732353702530883,PRUNED,0:00:03.594778,0.012312223477163606,29,3,2
479,0.5109043138868669,PRUNED,0:00:00.472060,0.024867508062151926,186,3,2
480,0.7972862455106917,PRUNED,0:00:00.608700,0.00794602720950911,181,3,3
481,0.04146134086161644,PRUNED,0:00:07.836560,0.010039772167785375,33,3,2
482,1.057425646732251,PRUNED,0:00:00.455072,0.004089698285441223,197,3,2
483,0.04452380948584445,PRUNED,0:00:04.694502,0.012496453722733517,46,3,2
484,0.8623044963697998,PRUNED,0:00:00.461215,0.00628920220095992,194,3,2
485,0.06551511376285492,PRUNED,0:00:02.317096,0.01886424806014095,49,3,2
486,0.6335915932629971,PRUNED,0:00:00.493773,0.01843117428971727,202,3,2
487,0.6289554468177735,PRUNED,0:00:00.454990,0.018335762698154397,202,3,2
488,1.1714926395460823,PRUNED,0:00:00.544740,0.002275312843865049,177,3,2
489,0.7541952683488922,PRUNED,0:00:00.463954,0.008443089401349007,187,3,2
490,1.5870686864852905,PRUNED,0:00:00.493684,0.0006190948256023037,189,3,2
491,1.0102175638383748,PRUNED,0:00:00.460688,0.004592004888721978,193,3,2
492,0.9732816582634336,PRUNED,0:00:00.488051,0.004723257747497985,181,3,2
493,0.59085495110069,PRUNED,0:00:00.491550,0.014760956727614306,181,3,2
494,0.05361863496850749,PRUNED,0:00:03.018101,0.014539196660874892,62,3,2
495,0.5873279936105302,PRUNED,0:00:00.496745,0.014926868241648156,184,3,2
496,0.7786727436248538,PRUNED,0:00:00.475274,0.0077049175218917515,185,3,2
497,0.696401578865268,PRUNED,0:00:00.486141,0.009401928066570624,173,2,2
498,0.7333616239103404,PRUNED,0:00:00.505297,0.00925010755593546,172,3,2
499,0.6914764512842948,PRUNED,0:00:00.505701,0.00987909529243596,174,3,2
500,0.8819092162409607,PRUNED,0:00:00.493859,0.005752144893444071,194,3,2
501,0.5428634493314114,PRUNED,0:00:00.459587,0.0274387336452656,195,3,2
502,0.6018277319128981,PRUNED,0:00:00.472039,0.023163643854908707,195,3,2
503,0.8109901923649382,PRUNED,0:00:00.481482,0.00710895326497489,188,3,2
504,0.04456352573713939,PRUNED,0:00:06.792670,0.0073480285794330575,31,3,2
505,0.0726793780415685,PRUNED,0:00:35.109775,0.0071746016720914884,4,3,3
506,0.05104786778598294,PRUNED,0:00:06.682857,0.015384064919146023,33,3,3
507,0.04243815832908129,PRUNED,0:00:16.956485,0.011512067488378457,33,3,3
508,0.004035336859327835,COMPLETE,0:00:58.807435,0.011772048969081591,46,3,3
509,0.7244741987240942,PRUNED,0:00:00.453590,0.011084737702195452,199,3,2
510,0.0031891913136276803,COMPLETE,0:00:34.010326,0.010364981442424388,45,3,2
511,1.1677328020334243,PRUNED,0:00:00.497162,0.0025340100977644464,190,3,2
512,0.03921636169971196,PRUNED,0:00:07.350054,0.011307018353126868,46,3,2
513,0.8906026874547419,PRUNED,0:00:00.459139,0.006348262316808979,206,3,2
514,0.5523889613039089,PRUNED,0:00:00.478709,0.021459974016924316,179,3,2
515,0.779593352895034,PRUNED,0:00:00.473230,0.009065596632189586,200,3,2
516,0.7160442034695663,PRUNED,0:00:00.583986,0.01093168321298403,186,3,3
517,1.064968871949899,PRUNED,0:00:00.590165,0.0039930490761336725,191,3,2
518,0.03888178678850333,PRUNED,0:00:12.240806,0.005444224902765985,26,3,2
519,1.812816049451026,PRUNED,0:00:00.539317,0.00010269414811208833,178,3,2
520,0.93226742688215,PRUNED,0:00:00.513623,0.005364938989362064,179,3,2
521,0.04471289206957875,PRUNED,0:00:05.405802,0.00543224597057186,46,3,2
522,0.13786008487499896,PRUNED,0:00:02.711598,0.04193274824767494,45,3,2
523,0.040047894593383836,PRUNED,0:00:07.614282,0.008087675732667525,47,3,2
524,0.78541987034881,PRUNED,0:00:00.526239,0.007807812823032506,184,3,2
525,0.04289329932238034,PRUNED,0:00:10.197693,0.01879770590021813,26,3,2
526,0.05142990885092043,PRUNED,0:00:06.601913,0.009471219524375275,26,3,2
527,1.7770688726056008,PRUNED,0:00:00.483462,0.0002897265244419272,203,3,2
528,0.1750779553172661,PRUNED,0:00:23.805795,0.019264191154913443,4,3,2
529,0.6101504571811117,PRUNED,0:00:00.465301,0.019289455411041483,191,3,2
530,0.6894422252621271,PRUNED,0:00:00.517001,0.01066123470574392,168,3,2
531,0.6855120787707468,PRUNED,0:00:00.511223,0.012078301078362464,197,3,2
532,0.6224811465168992,PRUNED,0:00:00.487934,0.017051313561668793,198,3,2
533,0.06377147832140563,PRUNED,0:00:25.278891,0.007134196099563566,4,3,2
534,0.8228131607912554,PRUNED,0:00:00.500518,0.006994922775004239,188,3,2
535,1.0667491445304653,PRUNED,0:00:00.541617,0.0026488601293186025,134,2,2
536,0.06680967015076857,PRUNED,0:00:01.910588,0.013626723311691225,62,3,2
537,1.0787565741274092,PRUNED,0:00:00.456104,0.003875181570981485,210,3,2
538,0.0335505796117442,PRUNED,0:00:20.824655,0.01445514101759425,36,3,3
539,0.47597589071553487,PRUNED,0:00:00.595386,0.028162964277176718,183,3,3
540,0.004443237873675188,COMPLETE,0:04:04.427171,0.0018664067265434295,4,3,2
541,0.6907419052636512,PRUNED,0:00:00.472182,0.009378602899900975,177,3,2
542,0.5529965014464898,PRUNED,0:00:01.482067,0.0018543797408296476,38,3,2
543,0.6378157935580429,PRUNED,0:00:00.492150,0.016068111371137755,194,3,2
544,0.6473763629049063,PRUNED,0:00:00.457225,0.01215171188009887,189,3,2
545,0.7564559202068127,PRUNED,0:00:00.461086,0.009061710074125958,183,3,2
546,0.06319221542389304,PRUNED,0:00:01.769053,0.014630495201910263,70,3,2
547,0.3838411534209322,PRUNED,0:00:01.309563,0.004309569676288433,43,3,2
548,0.06546999868419436,PRUNED,0:00:02.580604,0.006345954734505385,42,3,2
549,0.037016478204942964,PRUNED,0:00:10.282285,0.006367035555061733,37,3,2
550,0.048382140341259185,PRUNED,0:00:06.136260,0.022896551619368575,50,3,3
551,0.04126667287886326,PRUNED,0:00:04.998024,0.009332136880411943,58,3,2
552,0.003386142832626335,COMPLETE,0:00:39.818758,0.009096238330668126,37,3,2
553,0.036771884399460504,PRUNED,0:00:08.363928,0.008739714903722579,58,3,2
554,0.004893759627842017,COMPLETE,0:00:36.950857,0.009148143212953652,48,3,2
555,0.05164153977344942,PRUNED,0:00:03.577828,0.011649190984442713,51,3,2
556,0.04141379471020724,PRUNED,0:00:05.872979,0.011519651252811717,50,3,2
557,0.05286872151447701,PRUNED,0:00:03.854038,0.011466941579961275,49,3,2
558,1.8194465626863492,PRUNED,0:00:01.439881,1.0048779983294482e-05,41,3,2
559,0.7919258146783231,PRUNED,0:00:01.263758,0.001389733034653242,49,3,2
560,0.5496131178010163,PRUNED,0:00:01.302054,0.0030620473687502786,47,3,2
561,0.950577237700994,PRUNED,0:00:00.584406,0.0046740038162493575,168,3,2
